episode,epsilon,alpha,train_profit,train_reward,train_cycles_used
1,1.0,0.15,-1.5560214955182439e7,-3.7040482021167815e8,6081.443579799128
2,0.9,0.1425,-8.833648205561014e6,-2.905668029183213e8,5987.178097401622
3,0.81,0.135375,-2.7373423624697174e6,-1.5230789953056282e8,5716.639306786591
4,0.7290000000000001,0.12860624999999998,-7.510579429276216e6,-9.316354522266701e7,5522.660599424634
5,0.6561,0.12217593749999997,3.171392963750748e6,-8.452845084821634e7,5551.001684130695
6,0.5904900000000001,0.11606714062499998,3.251071369940475e6,-1.4155133494536814e8,5714.821643247558
7,0.531441,0.11026378359374996,9.758726812355876e6,-2.5127466244162613e8,5988.318173358522
8,0.4782969000000001,0.10475059441406247,1.5227988987464992e7,-2.2957670688572827e8,5959.683131524168
9,0.4304672100000001,0.09951306469335934,2.0508368570096746e7,-2.678138646448151e8,6029.014441582542
10,0.3874204890000001,0.09453741145869136,2.4149329720227674e7,-2.972793351961646e8,6059.7432121688325
11,0.3486784401000001,0.0898105408857568,2.47982503731503e7,-3.3442338780374163e8,6105.139296406182
12,0.3138105960900001,0.08532001384146895,3.176727573976542e7,-2.576474754355757e8,6005.37331630412
13,0.2824295364810001,0.08105401314939549,3.5919826697348736e7,-3.459840959508993e8,6150.324698205124
14,0.2541865828329001,0.0770013124919257,2.9454322413811974e7,-2.8008519600561744e8,6011.736570608234
15,0.22876792454961006,0.07315124686732943,3.237343465269832e7,-3.4571132361550677e8,6147.465810666116
16,0.20589113209464907,0.06949368452396296,3.451723480062043e7,-2.724683132150993e8,6020.673063821555
17,0.18530201888518416,0.06601900029776481,3.7660485192288026e7,-3.171750854915063e8,6097.86648953771
18,0.16677181699666577,0.06271805028287655,3.7193866154313326e7,-3.4397739514767206e8,6133.053323639159
19,0.15009463529699918,0.059582147768732725,3.0832921938894764e7,-2.6763856364462435e8,5994.907450898452
20,0.13508517176729928,0.056603040380296094,3.483544820548596e7,-3.338562053736605e8,6114.5237580635
21,0.12157665459056935,0.05377288836128128,3.9216590211584486e7,-2.5214579416826317e8,5958.113702067687
22,0.10941898913151242,0.05108424394321722,2.7434818890818156e7,-3.093867230769143e8,6067.003736906237
23,0.09847709021836118,0.04853003174605635,4.013439153018483e7,-2.6089188586109734e8,5988.502488387281
24,0.08862938119652507,0.046103530158753535,3.36905345077675e7,-3.4678063815813154e8,6121.847031547328
25,0.07976644307687256,0.04379835365081586,4.324865102117764e7,-2.6704146719588515e8,6025.714726567776
26,0.0717897987691853,0.041608435968275057,4.265098742860453e7,-3.350908033910312e8,6107.025487215016
27,0.06461081889226677,0.039528014169861306,4.042097934421675e7,-2.0067513289078176e8,5883.904397062872
28,0.058149737003040096,0.03755161346136824,4.2258007107792065e7,-3.1749327570526534e8,6064.226724894866
29,0.05233476330273609,0.03567403278829982,3.6880529972232744e7,-2.122998453699315e8,5902.477257598958
30,0.05,0.03389033114888483,3.915355206263691e7,-1.9395256349260268e8,5905.198954689321
31,0.05,0.03219581459144059,4.110155319574613e7,-2.944685457079787e8,6049.8170386761
32,0.05,0.030586023861868556,4.622238564516687e7,-2.009669427407835e8,5906.880749722605
33,0.05,0.03,3.8265154525638886e7,-3.186540619272935e8,6078.813177932197
34,0.05,0.03,4.648645583846623e7,-2.3241798821226054e8,5953.8327966028055
35,0.05,0.03,3.943034906522024e7,-1.5441018846259442e8,5809.544568622111
36,0.05,0.03,3.9753490851424955e7,-2.9168382309640074e8,6033.201165241016
37,0.05,0.03,4.520264159554499e7,-3.080235831281657e8,6061.82818511252
38,0.05,0.03,4.3295421904859416e7,-2.857415468214949e8,6078.915080797055
39,0.05,0.03,4.528674666891799e7,-2.0620398747833782e8,5889.509328467822
40,0.05,0.03,4.7105149705811076e7,-1.661544679248899e8,5755.939422739843
41,0.05,0.03,4.174988566983842e7,-2.6568162695354784e8,6008.5396586138495
42,0.05,0.03,4.768210767223129e7,-2.3627716455508977e8,5944.4631910257785
43,0.05,0.03,3.8535628269846454e7,-2.4466078782554644e8,5931.532906916401
44,0.05,0.03,3.819968556669847e7,-2.5080344678848338e8,5940.598971347585
45,0.05,0.03,4.2809897353259884e7,-2.5634615286005718e8,5977.635963219046
46,0.05,0.03,4.2227353572631285e7,-1.4586138515980494e8,5733.609590846885
47,0.05,0.03,4.0816764298746966e7,-1.5442006735930052e8,5796.537756024872
48,0.05,0.03,3.62866496027747e7,-3.234126091508023e8,6063.88548069325
49,0.05,0.03,4.632318168201049e7,-3.315973653564122e8,6114.859736146358
50,0.05,0.03,3.498371337720139e7,-8.452095693873195e7,5155.910672205845
